# PQC Cortex-M0+ Benchmark Suite
# Platform: Raspberry Pi Pico (RP2040, ARM Cortex-M0+ @ 133MHz)
# RAM: 264 KB, Flash: 2 MB
# Runs per operation: 30
#
algorithm,operation,security_level,time_us,run_number
# --- RSA-2048 ---
RSA-2048,keygen,2048,25593726,1
RSA-2048,keygen,2048,221377533,2
RSA-2048,keygen,2048,64004712,3
RSA-2048,keygen,2048,198288538,4
RSA-2048,keygen,2048,62597946,5
# SUMMARY RSA-2048 keygen 2048: mean=114372491 min=25593726 max=221377533 (n=5)
RSA-2048,encrypt,2048,151875,1
RSA-2048,encrypt,2048,139406,2
RSA-2048,encrypt,2048,139408,3
RSA-2048,encrypt,2048,139390,4
RSA-2048,encrypt,2048,139374,5
RSA-2048,encrypt,2048,139284,6
RSA-2048,encrypt,2048,139286,7
RSA-2048,encrypt,2048,139377,8
RSA-2048,encrypt,2048,139288,9
RSA-2048,encrypt,2048,139283,10
RSA-2048,encrypt,2048,139284,11
RSA-2048,encrypt,2048,139289,12
RSA-2048,encrypt,2048,139286,13
RSA-2048,encrypt,2048,139287,14
RSA-2048,encrypt,2048,139289,15
RSA-2048,encrypt,2048,139376,16
RSA-2048,encrypt,2048,139374,17
RSA-2048,encrypt,2048,139288,18
RSA-2048,encrypt,2048,139285,19
RSA-2048,encrypt,2048,139286,20
RSA-2048,encrypt,2048,139277,21
RSA-2048,encrypt,2048,139277,22
RSA-2048,encrypt,2048,139281,23
RSA-2048,encrypt,2048,139373,24
RSA-2048,encrypt,2048,139473,25
RSA-2048,encrypt,2048,139291,26
RSA-2048,encrypt,2048,139376,27
RSA-2048,encrypt,2048,139378,28
RSA-2048,encrypt,2048,139291,29
RSA-2048,encrypt,2048,139287,30
# SUMMARY RSA-2048 encrypt 2048: mean=139744 min=139277 max=151875 stddev=2253.3 cv=1.61%
RSA-2048,decrypt,2048,3836297,1
RSA-2048,decrypt,2048,3387621,2
RSA-2048,decrypt,2048,3388906,3
RSA-2048,decrypt,2048,3387911,4
RSA-2048,decrypt,2048,3387263,5
RSA-2048,decrypt,2048,3387402,6
RSA-2048,decrypt,2048,3388356,7
RSA-2048,decrypt,2048,3387823,8
RSA-2048,decrypt,2048,3388561,9
RSA-2048,decrypt,2048,3387936,10
RSA-2048,decrypt,2048,3387515,11
RSA-2048,decrypt,2048,3387929,12
RSA-2048,decrypt,2048,3387318,13
RSA-2048,decrypt,2048,3387433,14
RSA-2048,decrypt,2048,3388320,15
RSA-2048,decrypt,2048,3389005,16
RSA-2048,decrypt,2048,3388329,17
RSA-2048,decrypt,2048,3387219,18
RSA-2048,decrypt,2048,3387198,19
RSA-2048,decrypt,2048,3386707,20
RSA-2048,decrypt,2048,3387825,21
RSA-2048,decrypt,2048,3388973,22
RSA-2048,decrypt,2048,3388370,23
RSA-2048,decrypt,2048,3389220,24
RSA-2048,decrypt,2048,3387898,25
RSA-2048,decrypt,2048,3388352,26
RSA-2048,decrypt,2048,3388379,27
RSA-2048,decrypt,2048,3388958,28
RSA-2048,decrypt,2048,3387256,29
RSA-2048,decrypt,2048,3387402,30
# SUMMARY RSA-2048 decrypt 2048: mean=3402923 min=3386707 max=3836297 stddev=80478.1 cv=2.36%
# --- ECDSA P-256 ---
ECDSA-P256,keygen,256,84047,1
ECDSA-P256,keygen,256,83914,2
ECDSA-P256,keygen,256,83745,3
ECDSA-P256,keygen,256,83970,4
ECDSA-P256,keygen,256,84128,5
ECDSA-P256,keygen,256,83586,6
ECDSA-P256,keygen,256,83667,7
ECDSA-P256,keygen,256,83920,8
ECDSA-P256,keygen,256,83498,9
ECDSA-P256,keygen,256,83421,10
ECDSA-P256,keygen,256,83373,11
ECDSA-P256,keygen,256,83868,12
ECDSA-P256,keygen,256,84233,13
ECDSA-P256,keygen,256,83989,14
ECDSA-P256,keygen,256,83968,15
ECDSA-P256,keygen,256,83894,16
ECDSA-P256,keygen,256,83246,17
ECDSA-P256,keygen,256,83202,18
ECDSA-P256,keygen,256,83464,19
ECDSA-P256,keygen,256,83179,20
ECDSA-P256,keygen,256,83896,21
ECDSA-P256,keygen,256,83802,22
ECDSA-P256,keygen,256,83486,23
ECDSA-P256,keygen,256,83837,24
ECDSA-P256,keygen,256,83436,25
ECDSA-P256,keygen,256,83277,26
ECDSA-P256,keygen,256,82935,27
ECDSA-P256,keygen,256,83884,28
ECDSA-P256,keygen,256,83580,29
ECDSA-P256,keygen,256,83473,30
# SUMMARY ECDSA-P256 keygen 256: mean=83664 min=82935 max=84233 stddev=316.6 cv=0.38%
ECDSA-P256,sign,256,92823,1
ECDSA-P256,sign,256,92511,2
ECDSA-P256,sign,256,91820,3
ECDSA-P256,sign,256,92296,4
ECDSA-P256,sign,256,92517,5
ECDSA-P256,sign,256,92041,6
ECDSA-P256,sign,256,92176,7
ECDSA-P256,sign,256,92342,8
ECDSA-P256,sign,256,92648,9
ECDSA-P256,sign,256,91793,10
ECDSA-P256,sign,256,92443,11
ECDSA-P256,sign,256,92762,12
ECDSA-P256,sign,256,92204,13
ECDSA-P256,sign,256,92719,14
ECDSA-P256,sign,256,92711,15
ECDSA-P256,sign,256,92999,16
ECDSA-P256,sign,256,92410,17
ECDSA-P256,sign,256,92899,18
ECDSA-P256,sign,256,92384,19
ECDSA-P256,sign,256,92533,20
ECDSA-P256,sign,256,92964,21
ECDSA-P256,sign,256,92330,22
ECDSA-P256,sign,256,92567,23
ECDSA-P256,sign,256,92659,24
ECDSA-P256,sign,256,92721,25
ECDSA-P256,sign,256,92149,26
ECDSA-P256,sign,256,92087,27
ECDSA-P256,sign,256,92858,28
ECDSA-P256,sign,256,92872,29
ECDSA-P256,sign,256,92427,30
# SUMMARY ECDSA-P256 sign 256: mean=92489 min=91793 max=92999 stddev=318.3 cv=0.34%
ECDSA-P256,verify,256,319216,1
ECDSA-P256,verify,256,319701,2
ECDSA-P256,verify,256,319721,3
ECDSA-P256,verify,256,319651,4
ECDSA-P256,verify,256,319650,5
ECDSA-P256,verify,256,319755,6
ECDSA-P256,verify,256,319627,7
ECDSA-P256,verify,256,319696,8
ECDSA-P256,verify,256,319888,9
ECDSA-P256,verify,256,319673,10
ECDSA-P256,verify,256,319637,11
ECDSA-P256,verify,256,319741,12
ECDSA-P256,verify,256,319502,13
ECDSA-P256,verify,256,319451,14
ECDSA-P256,verify,256,319627,15
ECDSA-P256,verify,256,319606,16
ECDSA-P256,verify,256,319632,17
ECDSA-P256,verify,256,319535,18
ECDSA-P256,verify,256,319610,19
ECDSA-P256,verify,256,319558,20
ECDSA-P256,verify,256,319692,21
ECDSA-P256,verify,256,319612,22
ECDSA-P256,verify,256,319617,23
ECDSA-P256,verify,256,319660,24
ECDSA-P256,verify,256,319722,25
ECDSA-P256,verify,256,319590,26
ECDSA-P256,verify,256,319575,27
ECDSA-P256,verify,256,319501,28
ECDSA-P256,verify,256,319633,29
ECDSA-P256,verify,256,319652,30
# SUMMARY ECDSA-P256 verify 256: mean=319624 min=319216 max=319888 stddev=113.2 cv=0.04%
# --- ECDH P-256 ---
ECDH-P256,key_agreement,256,619933,1
ECDH-P256,key_agreement,256,617057,2
ECDH-P256,key_agreement,256,616395,3
ECDH-P256,key_agreement,256,618157,4
ECDH-P256,key_agreement,256,618815,5
ECDH-P256,key_agreement,256,618155,6
ECDH-P256,key_agreement,256,613937,7
ECDH-P256,key_agreement,256,616757,8
ECDH-P256,key_agreement,256,617402,9
ECDH-P256,key_agreement,256,617928,10
ECDH-P256,key_agreement,256,618637,11
ECDH-P256,key_agreement,256,617696,12
ECDH-P256,key_agreement,256,615275,13
ECDH-P256,key_agreement,256,619688,14
ECDH-P256,key_agreement,256,618898,15
ECDH-P256,key_agreement,256,616009,16
ECDH-P256,key_agreement,256,612211,17
ECDH-P256,key_agreement,256,619282,18
ECDH-P256,key_agreement,256,617542,19
ECDH-P256,key_agreement,256,616937,20
ECDH-P256,key_agreement,256,617861,21
ECDH-P256,key_agreement,256,618382,22
ECDH-P256,key_agreement,256,618991,23
ECDH-P256,key_agreement,256,617641,24
ECDH-P256,key_agreement,256,618977,25
ECDH-P256,key_agreement,256,618139,26
ECDH-P256,key_agreement,256,617310,27
ECDH-P256,key_agreement,256,619029,28
ECDH-P256,key_agreement,256,617937,29
ECDH-P256,key_agreement,256,613741,30
# SUMMARY ECDH-P256 key_agreement 256: mean=617491 min=612211 max=619933 stddev=1756.1 cv=0.28%
# === Classical baseline benchmarks complete ===
# Save this output as results/raw/classical_baseline.csv
