# PQC Cortex-M0+ Benchmark Suite
# Platform: Raspberry Pi Pico (RP2040, ARM Cortex-M0+ @ 133MHz)
# RAM: 264 KB, Flash: 2 MB
# Runs per operation: 30
#
algorithm,operation,security_level,time_us,run_number
# --- RSA-2048 ---
RSA-2048,keygen,2048,46090978,1
RSA-2048,keygen,2048,277366015,2
RSA-2048,keygen,2048,267416358,3
RSA-2048,keygen,2048,303002625,4
RSA-2048,keygen,2048,184181541,5
# SUMMARY RSA-2048 keygen 2048: mean=215611503 min=46090978 max=303002625 (n=5)
RSA-2048,encrypt,2048,148860,1
RSA-2048,encrypt,2048,139405,2
RSA-2048,encrypt,2048,139401,3
RSA-2048,encrypt,2048,139289,4
RSA-2048,encrypt,2048,139375,5
RSA-2048,encrypt,2048,139288,6
RSA-2048,encrypt,2048,139274,7
RSA-2048,encrypt,2048,139377,8
RSA-2048,encrypt,2048,139284,9
RSA-2048,encrypt,2048,139283,10
RSA-2048,encrypt,2048,139370,11
RSA-2048,encrypt,2048,139290,12
RSA-2048,encrypt,2048,139295,13
RSA-2048,encrypt,2048,139289,14
RSA-2048,encrypt,2048,139373,15
RSA-2048,encrypt,2048,139283,16
RSA-2048,encrypt,2048,139377,17
RSA-2048,encrypt,2048,139291,18
RSA-2048,encrypt,2048,139289,19
RSA-2048,encrypt,2048,139288,20
RSA-2048,encrypt,2048,140670,21
RSA-2048,encrypt,2048,139400,22
RSA-2048,encrypt,2048,139294,23
RSA-2048,encrypt,2048,139291,24
RSA-2048,encrypt,2048,139287,25
RSA-2048,encrypt,2048,139281,26
RSA-2048,encrypt,2048,139283,27
RSA-2048,encrypt,2048,139279,28
RSA-2048,encrypt,2048,139374,29
RSA-2048,encrypt,2048,139286,30
# SUMMARY RSA-2048 encrypt 2048: mean=139681 min=139274 max=148860 stddev=1722.3 cv=1.23%
RSA-2048,decrypt,2048,3823959,1
RSA-2048,decrypt,2048,3378293,2
RSA-2048,decrypt,2048,3378846,3
RSA-2048,decrypt,2048,3378170,4
RSA-2048,decrypt,2048,3378399,5
RSA-2048,decrypt,2048,3377877,6
RSA-2048,decrypt,2048,3377676,7
RSA-2048,decrypt,2048,3378694,8
RSA-2048,decrypt,2048,3377625,9
RSA-2048,decrypt,2048,3377852,10
RSA-2048,decrypt,2048,3377872,11
RSA-2048,decrypt,2048,3377863,12
RSA-2048,decrypt,2048,3378341,13
RSA-2048,decrypt,2048,3378379,14
RSA-2048,decrypt,2048,3378573,15
RSA-2048,decrypt,2048,3378002,16
RSA-2048,decrypt,2048,3376952,17
RSA-2048,decrypt,2048,3378410,18
RSA-2048,decrypt,2048,3378006,19
RSA-2048,decrypt,2048,3378048,20
RSA-2048,decrypt,2048,3377920,21
RSA-2048,decrypt,2048,3377562,22
RSA-2048,decrypt,2048,3378073,23
RSA-2048,decrypt,2048,3377753,24
RSA-2048,decrypt,2048,3378616,25
RSA-2048,decrypt,2048,3377944,26
RSA-2048,decrypt,2048,3377661,27
RSA-2048,decrypt,2048,3377676,28
RSA-2048,decrypt,2048,3378051,29
RSA-2048,decrypt,2048,3377807,30
# SUMMARY RSA-2048 decrypt 2048: mean=3392897 min=3376952 max=3823959 stddev=80047.2 cv=2.36%
# --- ECDSA P-256 ---
ECDSA-P256,keygen,256,84014,1
ECDSA-P256,keygen,256,82998,2
ECDSA-P256,keygen,256,83699,3
ECDSA-P256,keygen,256,83059,4
ECDSA-P256,keygen,256,83392,5
